gene,protein,family,direction,localization,doi_direction,doi_localization,confidence,category,note
SLC12A2,NKCC1,SLC12 cotransporter,influx,plasma_membrane,10.1152/physrev.00025.2014,10.1152/physrev.00025.2014,high,include,Na-K-2Cl cotransporter; mediates Cl- influx; widely expressed
SLC12A1,NKCC2,SLC12 cotransporter,influx,plasma_membrane,10.1152/physrev.00025.2014,10.1152/physrev.00025.2014,medium,include,Na-K-2Cl cotransporter; kidney-specific
SLC12A5,KCC2,SLC12 cotransporter,efflux,plasma_membrane,10.1152/physrev.00025.2014,10.1152/physrev.00025.2014,high,include,K-Cl cotransporter; neuron-specific Cl- efflux
SLC12A4,KCC1,SLC12 cotransporter,efflux,plasma_membrane,10.1152/physrev.00025.2014,10.1152/physrev.00025.2014,high,include,K-Cl cotransporter; widely expressed Cl- efflux
SLC12A6,KCC3,SLC12 cotransporter,efflux,plasma_membrane,10.1152/physrev.00025.2014,10.1152/physrev.00025.2014,medium,include,K-Cl cotransporter; Cl- efflux
SLC12A7,KCC4,SLC12 cotransporter,efflux,plasma_membrane,10.1152/physrev.00025.2014,10.1152/physrev.00025.2014,medium,include,K-Cl cotransporter; widely expressed Cl- efflux
CLCN1,ClC-1,CLCN voltage-gated,efflux,plasma_membrane,10.1152/physrev.00047.2009,10.1152/physrev.00047.2009,medium,include,Voltage-gated Cl- channel; mainly skeletal muscle
CLCN2,ClC-2,CLCN voltage-gated,efflux,plasma_membrane,10.1152/physrev.00047.2009,10.1152/physrev.00047.2009,high,include,Voltage-gated Cl- channel; widely expressed Cl- efflux
CLCNKA,ClC-Ka,CLCN voltage-gated,efflux,plasma_membrane,10.1038/nature03824,10.1038/nature03824,medium,include,Voltage-gated Cl- channel; requires Barttin beta subunit for membrane localization
CLCNKB,ClC-Kb,CLCN voltage-gated,efflux,plasma_membrane,10.1038/nature03824,10.1038/nature03824,medium,include,Voltage-gated Cl- channel; requires Barttin beta subunit for membrane localization
ANO1,TMEM16A,ANO/TMEM16 Ca2+-activated,efflux,plasma_membrane,10.1038/nature07313,10.1038/nature07313,high,include,Ca2+-activated Cl- channel; plasma membrane; strong Cl- efflux evidence
ANO2,TMEM16B,ANO/TMEM16 Ca2+-activated,efflux,plasma_membrane,10.1038/nature07313,10.1038/nature07313,medium,include,Ca2+-activated Cl- channel; plasma membrane
BEST1,Bestrophin-1,Bestrophin Ca2+-activated,efflux,plasma_membrane,10.1152/physrev.00024.2013,10.1152/physrev.00024.2013,medium,include,Ca2+-activated Cl- channel; activity depends on intracellular Ca2+ signal
BEST2,Bestrophin-2,Bestrophin Ca2+-activated,efflux,plasma_membrane,10.1152/physrev.00024.2013,10.1152/physrev.00024.2013,medium,include,Ca2+-activated Cl- channel
BEST3,Bestrophin-3,Bestrophin Ca2+-activated,efflux,plasma_membrane,10.1152/physrev.00024.2013,10.1152/physrev.00024.2013,low,include,Ca2+-activated Cl- channel; tissue expression less characterized than BEST1
BEST4,Bestrophin-4,Bestrophin Ca2+-activated,efflux,plasma_membrane,10.1152/physrev.00024.2013,10.1152/physrev.00024.2013,low,include,Ca2+-activated Cl- channel
CFTR,CFTR,CFTR/cAMP-activated,efflux,plasma_membrane,10.1152/physrev.1999.79.1.S23,10.1152/physrev.1999.79.1.S23,high,include,cAMP-activated Cl- channel; key epithelial Cl- efflux channel
LRRC8A,SWELL1,LRRC8/VRAC,bidirectional_efflux,plasma_membrane,10.1126/science.1249538,10.1126/science.1249538,high,include,Volume-regulated anion channel (VRAC); bidirectional but net Cl- efflux during cell swelling
LRRC8B,,LRRC8/VRAC,bidirectional_efflux,plasma_membrane,10.1126/science.1249538,10.1126/science.1249538,medium,include,VRAC subunit; heteromerizes with LRRC8A
